Epoch,Accuracy,TrainLoss
792,81.25,0.222099
793,87.5,0.34175
794,87.5,0.392784
795,93.75,0.0877576
796,100,0.0419889
797,87.5,0.393173
798,93.75,0.208531
799,93.75,0.267078
800,87.5,0.400254
801,81.25,0.310852
802,100,0.0818762
803,93.75,0.292918
804,100,0.0282146
805,93.75,0.212642
806,100,0.100002
807,87.5,0.312622
808,100,0.0453995
809,93.75,0.279902
810,87.5,0.242867
811,81.25,0.534545
812,93.75,0.158414
813,100,0.0844027
814,87.5,0.421475
815,93.75,0.506231
816,100,0.0896884
817,87.5,0.206977
818,81.25,0.918908
819,93.75,0.21315
820,93.75,0.237069
821,87.5,0.331269
822,87.5,0.44453
823,100,0.0710497
824,100,0.0402576
825,81.25,0.512207
826,100,0.0537056
827,100,0.00651771
828,100,0.0290619
829,87.5,0.41487
830,100,0.0457303
831,100,0.0398641
832,93.75,0.116643
833,93.75,0.215326
834,87.5,0.16668
835,100,0.105187
836,100,0.186625
837,87.5,0.398802
838,93.75,0.147517
839,93.75,0.119409
840,87.5,0.334846
841,93.75,0.174434
842,100,0.0762498
843,100,0.0377419
844,100,0.0393151
845,81.25,0.478359
846,81.25,0.412127
847,93.75,0.170272
848,100,0.0443335
849,93.75,0.0756746
850,100,0.0686779
851,100,0.0730141
852,93.75,0.18447
853,93.75,0.24592
854,87.5,0.487479
855,93.75,0.49723
856,100,0.0987344
857,87.5,0.330362
858,81.25,0.462715
859,93.75,0.110123
860,93.75,0.277412
861,93.75,0.158126
862,100,0.0720049
863,93.75,0.236788
864,100,0.108768
865,81.25,0.546921
866,93.75,0.17313
867,100,0.0265629
868,100,0.0730844
869,93.75,0.146325
870,87.5,0.266341
871,81.25,0.478151
872,100,0.0867261
873,100,0.0934073
874,81.25,0.824325
875,81.25,0.380521
876,87.5,0.270995
877,100,0.0690663
878,100,0.0379701
879,93.75,0.0805236
880,81.25,0.782933
881,93.75,0.169876
882,87.5,0.539285
883,93.75,0.15038
884,93.75,0.127661
885,93.75,0.388173
886,100,0.070549
887,87.5,0.272659
888,93.75,0.356614
889,87.5,0.414605
890,93.75,0.0969645
891,93.75,0.289517
892,93.75,0.186815
893,87.5,0.351741
894,93.75,0.186196
895,93.75,0.14708
896,87.5,0.387909
897,87.5,0.304785
898,100,0.11785
